"variant","semana","ano","n","freq","Actualizacion","Fuente"
"VOI Epsilon",47,2020,9,1,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Epsilon",51,2020,17,1,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Epsilon",3,2021,9,1,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Epsilon",6,2021,9,1,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Delta",8,2021,9,1,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Alpha",9,2021,9,0.3333333333333333,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Epsilon",9,2021,18,0.6666666666666666,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Alpha",10,2021,9,1,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Alpha",11,2021,9,0.25,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Gamma",11,2021,9,0.25,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Iota",11,2021,18,0.5,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Gamma",12,2021,9,0.25,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Epsilon",12,2021,9,0.25,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Alpha",12,2021,18,0.5,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Alpha",13,2021,9,0.16666666666666666,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Gamma",13,2021,45,0.8333333333333334,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Gamma",14,2021,18,0.18181818181818182,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Epsilon",14,2021,18,0.18181818181818182,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOC Alpha",14,2021,63,0.6363636363636364,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Iota",15,2021,9,0.03571428571428571,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Lambda",15,2021,9,0.03571428571428571,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
"VOI Epsilon",15,2021,18,0.07142857142857142,"2022/10/17 10:25:00","GISAID: https://www.gisaid.org/"
